gps_time,date,time,latitude,longitude,altitude,qx,qy,qz,qw,image
1422874402,2025-02-06,10:53:04,4.764221759297603,-73.9894284954979,2642.8391166962683,-0.6156749730716642,-0.2527365314562851,-0.6550679498415035,0.3577073849405455,1738857184229.jpg
1422874403,2025-02-06,10:53:05,4.764227929624197,-73.98938707158611,2642.884498810396,-0.6126569680592221,-0.2596951253783358,-0.6596099149188271,0.3494634070165782,1738857185240.jpg
1422874404,2025-02-06,10:53:06,4.764235605325858,-73.98934574347835,2643.1656461711973,-0.6099348153379731,-0.2781272404818149,-0.656733795127648,0.3454353663327457,1738857186259.jpg
1422874405,2025-02-06,10:53:07,4.764240343945561,-73.98930595557609,2642.4007655717432,-0.6066301708854033,-0.2858363889493084,-0.6574744911759189,0.3435472439612728,1738857187276.jpg
1422874406,2025-02-06,10:53:08,4.764249716464921,-73.98926357308999,2642.6591840367764,-0.6054724463911123,-0.2784687826395576,-0.6573622597811389,0.3517571249173375,1738857188292.jpg
1422874407,2025-02-06,10:53:09,4.764258007492427,-73.98922092692001,2642.4029755210504,-0.6081091844239462,-0.2804998915045507,-0.6528133093327854,0.3540590805161687,1738857189308.jpg
1422874408,2025-02-06,10:53:10,4.764264399028925,-73.98917711751666,2641.768668412231,-0.608525677649531,-0.2701452697537658,-0.6545927982887084,0.3580870044211316,1738857190325.jpg
1422874409,2025-02-06,10:53:11,4.764273991704782,-73.98913955947916,2641.5572063094005,-0.611075752752305,-0.2663084777756886,-0.6609064613944319,0.3447736977197725,1738857191341.jpg
1422874410,2025-02-06,10:53:12,4.7642755220834045,-73.98909061800315,2641.3977824430917,-0.6118755709287463,-0.2694923583361761,-0.6636373734903469,0.3355110552042352,1738857192358.jpg
1422874411,2025-02-06,10:53:13,4.764280640101905,-73.98904665691084,2641.3238162556663,-0.6127023163741717,-0.2685507094478538,-0.6632275189484745,0.3355676336524795,1738857193373.jpg
1422874412,2025-02-06,10:53:14,4.764286068014067,-73.98900447165741,2641.4391698194668,-0.6101603648219935,-0.2719892617227072,-0.6619891150825353,0.3398479718225833,1738857194391.jpg
1422874413,2025-02-06,10:53:15,4.76429244435182,-73.9889664209545,2641.3910295488317,-0.6113074519018715,-0.2763750303222607,-0.6595638965551633,0.3389626035649319,1738857195409.jpg
1422874414,2025-02-06,10:53:16,4.76429891265752,-73.98892815031816,2641.587999484502,-0.6137273365226569,-0.2779428906833749,-0.6570355092664291,0.3382173479138767,1738857196424.jpg
1422874415,2025-02-06,10:53:17,4.764305332306227,-73.98888990382765,2642.026601555757,-0.6185901986412253,-0.2716726176763264,-0.6519101056360507,0.3443159436815833,1738857197442.jpg
1422874416,2025-02-06,10:53:18,4.764313193530451,-73.98884938440303,2641.925033298321,-0.6158963129652933,-0.268808037232615,-0.6509153596593367,0.3531618072064432,1738857198458.jpg
1422874417,2025-02-06,10:53:19,4.76432174818953,-73.98881099630643,2641.6004884168506,-0.6102057777565948,-0.274013813834206,-0.6523332214395441,0.3564080153594618,1738857199476.jpg
1422874418,2025-02-06,10:53:20,4.764335548868305,-73.98877066051413,2643.0051857745275,-0.6035160984080615,-0.2884038178365696,-0.6417218813673217,0.3752126207864946,1738857200491.jpg
1422874419,2025-02-06,10:53:21,4.764346156062419,-73.98872930088154,2643.405232529156,-0.5956074512233633,-0.2967405996831069,-0.6396235935679364,0.3848095658758425,1738857201508.jpg
1422874420,2025-02-06,10:53:22,4.764356326575341,-73.98868106272514,2643.55562745966,-0.5971829498621283,-0.2954460350950256,-0.6349517726274199,0.3910506075584128,1738857202527.jpg
1422874421,2025-02-06,10:53:23,4.764369245348534,-73.98863556500983,2643.3387732431293,-0.5951186133548206,-0.2934899099227795,-0.6362543535935766,0.3935451464622182,1738857203541.jpg
1422874422,2025-02-06,10:53:24,4.764381445623251,-73.9885937940189,2643.357624434866,-0.5943228053408388,-0.3003778233642954,-0.636488839161478,0.3891470787165449,1738857204556.jpg
1422874423,2025-02-06,10:53:25,4.764393288482976,-73.98855104964262,2643.630177383311,-0.5935439036345789,-0.3020834495337058,-0.6288144305457725,0.4013024094027325,1738857205574.jpg
1422874425,2025-02-06,10:53:27,4.764431553866089,-73.98847388621472,2644.414642778225,-0.5809088247132165,-0.3428038589306363,-0.582599550779012,0.4534404823983024,1738857207607.jpg
1422874426,2025-02-06,10:53:28,4.764458358109082,-73.98844013139313,2644.923350883648,-0.5667088909744844,-0.3717167158607816,-0.5602760807727751,0.4761916218761357,1738857208624.jpg
1422874427,2025-02-06,10:53:29,4.764484294832041,-73.98840551685365,2645.1366584394127,-0.5440046519601116,-0.4052330258954039,-0.5488071662447631,0.4885242236234499,1738857209639.jpg
1422874428,2025-02-06,10:53:30,4.764509050013623,-73.98837575166822,2645.023311949335,-0.532016587602148,-0.4226771673967017,-0.5297335615274968,0.5076266310031828,1738857210656.jpg
1422874429,2025-02-06,10:53:31,4.764536152259028,-73.98835020255157,2645.204351316206,-0.5253517461080951,-0.4299484166978894,-0.5041956104374041,0.533794775226435,1738857211673.jpg
1422874430,2025-02-06,10:53:32,4.7645625509615055,-73.98832470110139,2644.9859936088324,-0.509692096531077,-0.4416589814444315,-0.4850788747012915,0.556641457590292,1738857212690.jpg
1422874431,2025-02-06,10:53:33,4.764591436176038,-73.98830387413247,2645.343923650682,-0.4895397118780907,-0.4615354515221432,-0.4617263337644149,0.5780525768872389,1738857213706.jpg
1422874432,2025-02-06,10:53:34,4.764624867632099,-73.98828352823774,2645.673609523102,-0.4643865216611608,-0.4856560351166484,-0.4387346689397036,0.5966533371711198,1738857214723.jpg
1422874433,2025-02-06,10:53:35,4.764654337365488,-73.98826450820971,2646.334339913912,-0.4383455967402971,-0.5073262453941085,-0.4258071308276067,0.6075866679456233,1738857215741.jpg
1422874434,2025-02-06,10:53:36,4.764694935715776,-73.98824225170931,2646.4295812863857,-0.4384413355177298,-0.5160860558694577,-0.4065889933817083,0.6132778870594326,1738857216757.jpg
1422874435,2025-02-06,10:53:37,4.764723106651855,-73.98822945777289,2645.274924025871,-0.4385308373188448,-0.5231580437320162,-0.4052901771281206,0.6080593932714558,1738857217772.jpg
1422874436,2025-02-06,10:53:38,4.764753009218439,-73.98821346075599,2645.995889415033,-0.4399399670075481,-0.5256370745637106,-0.4052896069165853,0.6048957833252658,1738857218797.jpg
1422874437,2025-02-06,10:53:39,4.764774731538236,-73.98819820715777,2646.04254033044,-0.4401179241184071,-0.5291019014037646,-0.4009365542770539,0.6046462934324679,1738857219807.jpg
1422874438,2025-02-06,10:53:40,4.764797884638716,-73.9881854521828,2646.1676407502964,-0.4492245091868828,-0.5231205296206514,-0.3974622078549338,0.6054470093085875,1738857220823.jpg
1422874439,2025-02-06,10:53:41,4.764819143460325,-73.98817165814533,2646.3531245123595,-0.4487751660245329,-0.5281569227392037,-0.4012625741338219,0.5988651602264268,1738857221839.jpg
1422874440,2025-02-06,10:53:42,4.764837475345,-73.98815978663907,2646.184231646359,-0.4451860769403001,-0.5321335445742836,-0.4095680710473884,0.5923658692239054,1738857222858.jpg
1422874441,2025-02-06,10:53:43,4.764862516709615,-73.98814907008085,2646.2127466155216,-0.4453918991825349,-0.5348465859088196,-0.4109742275957284,0.588782945654389,1738857223873.jpg
1422874442,2025-02-06,10:53:44,4.764884449226059,-73.98813446887573,2646.3137378627434,-0.4456200206374979,-0.5333183668894103,-0.4109060944421245,0.5900428923919063,1738857224890.jpg
1422874443,2025-02-06,10:53:45,4.764908074172818,-73.9881157528632,2646.369650210254,-0.4454271516911188,-0.5353929324009442,-0.4133796677636757,0.5865717734713829,1738857225907.jpg
